,mse,rmse,mae,r2
Linear Regression,1742.6335644189012,41.74486273086667,31.582083656163086,0.35826054457221945
Lasso Regression,1830.3216025787567,42.78225803506351,32.40806239729894,0.3259686875776018
Ridge Regression,1818.5551402933881,42.64452063622463,32.28518305715681,0.33030178620114514
Support Vector Regression,1704.0796676566388,41.28049984746598,30.723665670806245,0.3724583410671376
Random Forest,523.5642076632301,22.881525466262737,17.694775486827034,0.8071930804228952
Gradient Boosting,599.0852191047924,24.476217418236676,19.231165283378076,0.7793818332706435
LightGBM,495.59513902191395,22.26196619847209,17.39575715574282,0.8174929250059333
XGBoost,484.9360512801702,22.021263616790254,17.115523723829515,0.8214182236472598
